teplota,rychlost_vitr,max_naraz_vitr,vlhkost,uhrn_srazky,tlak,mesic,y
3.7,0.6,3.7,98,0.0,991.682043,12,0
7.0,3.7,17.8,76,0.0,1003.741916,12,0
4.7,1.1,12.2,87,5.0,1011.604868,12,1
6.1,2.0,9.5,81,2.0,1013.417968,12,1
3.9,2.2,8.8,77,0.0,1001.322791,12,0
2.6,1.6,8.6,82,0.0,1027.42827,12,0
0.7,1.0,8.5,63,0.0,1038.459947,12,0
-1.9,0.8,3.9,74,0.0,1038.758718,12,0
-0.8,0.2,2.3,85,0.0,1032.347968,12,0
3.7,2.0,12.2,77,0.0,1028.839145,12,0
-0.2,0.9,7.4,78,0.0,1032.857264,1,0
-4.6,0.3,1.8,99,0.0,1029.469955,1,0
-1.2,0.0,6.9,100,0.0,1022.193215,1,0
4.0,4.7,16.0,71,1.4,1021.971924,1,1
1.0,2.6,13.3,70,0.0,1032.023281,1,0
0.3,0.5,2.4,95,0.0,1028.307358,1,0
-0.4,0.6,6.5,99,0.1,1026.312724,1,1
2.6,0.4,3.1,98,2.2,1026.140936,1,1
4.2,0.0,1.9,100,1.9,1019.422802,1,1
7.1,1.1,14.0,87,0.0,1016.181753,1,0
1.5,1.5,12.9,82,0.0,1029.400128,1,0
0.6,1.2,6.5,89,0.0,1024.728483,1,0
2.2,0.0,4.6,92,0.0,1021.630903,1,0
1.7,0.1,2.8,97,0.0,1017.803462,1,0
-0.7,0.0,3.1,91,0.0,1022.429194,1,0
-1.3,0.6,2.3,95,0.0,1029.868285,1,0
-0.3,0.0,3.3,100,0.0,1022.523372,1,0
1.5,0.0,2.3,99,0.3,1024.051434,1,1
2.0,0.9,6.8,88,0.0,1032.549323,1,0
0.5,0.5,5.8,78,0.0,1043.804153,1,0
-2.7,0.3,3.5,91,0.0,1040.677017,1,0
1.6,1.3,8.8,85,0.0,1032.738969,1,0
-0.7,1.1,4.4,83,0.0,1031.50874,1,0
-0.8,0.8,3.9,87,0.0,1024.375111,1,0
-1.0,0.4,3.1,91,0.0,1021.92367,1,0
-0.9,0.1,2.6,97,0.0,1020.567153,1,0
1.0,0.0,2.1,100,0.8,1013.900497,1,1
3.1,1.9,14.7,91,5.3,998.9605243,1,1
3.3,4.5,11.3,73,0.0,1005.522181,1,0
4.9,3.2,12.0,72,0.0,1010.545083,1,0
13.1,4.4,14.6,64,0.0,1006.399083,1,0
12.0,4.2,12.1,71,0.2,1005.101177,2,1
9.4,3.6,17.7,76,5.7,1007.167205,2,1
8.9,3.4,18.0,76,14.8,1008.311122,2,1
4.1,4.3,17.6,77,1.3,1005.703225,2,1
2.0,3.0,15.9,73,0.1,1026.962493,2,1
3.3,4.4,12.5,71,0.0,1031.894087,2,0
4.3,1.2,8.1,81,0.0,1031.107701,2,0
-1.2,0.5,4.1,92,0.0,1029.509257,2,0
0.1,0.5,4.5,98,2.1,1021.193646,2,1
5.7,5.7,26.1,74,3.3,999.6285503,2,1
4.4,7.6,23.1,56,0.0,1004.802748,2,0
4.4,6.3,16.9,52,0.0,1015.228655,2,0
2.7,1.4,8.0,81,1.4,1015.357684,2,1
5.4,2.2,11.8,81,0.1,1019.370059,2,1
